day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z9-001,Z6,idle,563.175554,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-002,Z6,idle,466.7467496666667,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-003,Z6,idle,466.58693066666666,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-004,Z6,idle,502.45676733333335,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-005,Z6,idle,501.9788073333334,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-006,Z6,idle,502.21655433333336,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-007,Z6,idle,600.379681,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-008,Z9,idle,1185.748114,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-009,Z9,idle,1153.664206,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-010,Z9,idle,1184.373643,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-011,Z9,idle,621.624326,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-012,Z6,idle,563.59663,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-013,Z6,idle,563.8092,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-014,Z6,idle,563.3854170000001,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-015,Z6,idle,564.023134,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-016,Z9,idle,531.026515,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-017,Z9,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z9-018,Z9,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
