seed,weather_scenario,leg_id,agent_id,age_group,group,shared_request,p0_succeeded,p4_succeeded,benefited_failure_to_success,harmed_success_to_failure,pickup_wait_change_minutes,wait_improved,wait_worsened,base_dispatch_priority_identical
55,W0,20-2026-07-07-L02,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W0,34-2026-07-07-L01,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
55,W2,10-2026-07-07-L01,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W2,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W2,16-2026-07-07-L03,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W2,17-2026-07-07-L01,17,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W2,20-2026-07-07-L02,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
55,W2,26-2026-07-07-L02,26,40-59,40-59,True,True,True,False,False,0.0,False,False,True
55,W2,34-2026-07-07-L01,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
55,W2,8-2026-07-07-L01,8,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,15-2026-07-07-L03,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,4-2026-07-07-L02,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,7-2026-07-07-L01,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W0,7-2026-07-07-L02,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,10-2026-07-07-L02,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,13-2026-07-07-L01,13,18-39,18-39,True,False,False,False,False,0.0,False,False,True
56,W2,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,15-2026-07-07-L03,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,2-2026-07-07-L02,2,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,20-2026-07-07-L01,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,20-2026-07-07-L02,20,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,21-2026-07-07-L01,21,40-59,40-59,True,True,True,False,False,0.0,False,False,True
56,W2,30-2026-07-07-L01,30,40-59,40-59,True,True,True,False,False,0.0,False,False,True
56,W2,30-2026-07-07-L02,30,40-59,40-59,True,True,True,False,False,0.0,False,False,True
56,W2,34-2026-07-07-L01,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
56,W2,35-2026-07-07-L01,35,40-59,40-59,True,True,True,False,False,0.0,False,False,True
56,W2,4-2026-07-07-L02,4,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,7-2026-07-07-L01,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
56,W2,7-2026-07-07-L02,7,18-39,18-39,True,True,True,False,False,0.0,False,False,True
